Year,Order,Level,Award,Name,Citation,County
2016,Members of the Order of the Companions of Honour,CH,Companion of Honour,Dame Vera LYNN DBE,For services to Entertainment and Charity.,East Sussex
2016,Members of the Order of the Companions of Honour,CH,Companion of Honour,Lord Robert Haldane SMITH KT,For public service particularly in Scotland.,"Roxburgh, Ettrick and Lauderdale"
2016,Knighthoods,Kt,Knight Bachelor,Mr Damon Marcus BUFFINI ,"Lately Head, Permira. For voluntary and charitable services.",Surrey
2016,Knighthoods,Kt,Knight Bachelor,Mr Michael CRAIG-MARTIN CBE,Artist. For services to Art.,London
2016,Knighthoods,Kt,Knight Bachelor,Rt Hon Jeffrey Mark DONALDSON MP,Member of Parliament for Lagan Valley. For political service.,Down
2016,Knighthoods,Kt,Knight Bachelor,Rt Hon Alexander Charles Onslow FERGUSSON ,"For services to Politics, the Scottish Parliamentary Process and Public Life in Scotland.",Dumfries
2016,Knighthoods,Kt,Knight Bachelor,Dr David GRANT CBE FRENG,"For services to Engineering, Technology and Skills in the UK.",Vale of Glamorgan
2016,Knighthoods,Kt,Knight Bachelor,Mr David HAMILTON ,For political and parliamentary service.,Midlothian
2016,Knighthoods,Kt,Knight Bachelor,Mr Philip William HULME ,"Co-Founder, Hadley Trust, Computacenter and Dealogic.  For services to Technology and to Philanthropy.",London
2016,Knighthoods,Kt,Knight Bachelor,Mr Paul MARSHALL ,"Chairman, ARK Schools and Lead Non-Executive Board Member, Department for Education. For services to Education and Philanthropy.",London
2016,Knighthoods,Kt,Knight Bachelor,Mr Terence Keith MORGAN CBE FRENG,"Non-Executive Chairman, Crossrail Ltd.  For services to UK Infrastructure, Skills and Employment.",West Midlands
2016,Knighthoods,Kt,Knight Bachelor,Mr Simon Christopher Townsend ROBEY ,"Chair, Royal Opera House and Aldeburgh Music. For services to Music.",London
2016,Knighthoods,Kt,Knight Bachelor,Professor Roger Vernon SCRUTON ,"For services to Philosophy, Teaching and Public Education.",Wiltshire
2016,Knighthoods,Kt,Knight Bachelor,Dr Larry Alan SIEDENTOP CBE,"Emeritus Fellow, Keble College, University of Oxford.  For services to Political Science.",London
2016,Knighthoods,Kt,Knight Bachelor,Mr Roderick David STEWART CBE,Singer/Songwriter.  For services to Music and charity.,Essex
2016,Knighthoods,Kt,Knight Bachelor,Professor John Stanley STRANG ,"Professor in the Psychiatry of the Addictions and Director, National Addiction Centre, King's College London. For services to Medicine, Addictions and Public Health.",Surrey
2016,Knighthoods,Kt,Knight Bachelor,Rt Hon Desmond SWAYNE TD MP,Member of Parliament for New Forest West.  For political and parliamentary service.,Hampshire
2016,Knighthoods,Kt,Knight Bachelor,Dr Richard Henry TREISMAN FRS,"Research Director, Francis Crick Institute.  For services to Biomedical Science and to Cancer Research.",London
2016,Knighthoods,Kt,Knight Bachelor,Professor Douglass Matthew TURNBULL ,"Professor of Neurology, Newcastle University.  For services to Health Care Research and Treatment particularly Mitochondrial Disease.",Tyne and Wear
2016,Knighthoods,Kt,Knight Bachelor,Professor Stanley William WELLS CBE,"Shakespeare Scholar and Honorary President, Shakespeare Birthplace Trust.  For services to Scholarship.",Warwickshire
2016,Knighthoods,Kt,Knight Bachelor,Mr Peter WOOD CBE,For services to UK Industry and Philanthropy.,Surrey
2016,Knights Commander of the Order of the Bath,KCB,Knight Commander of the Order of the Bath,Mr Martin Eugene DONNELLY CMG,"Permanent Secretary, Department for Business, Innovation and Skills. For public service particularly to Business.",London
2016,Knights Commander of the Order of the Bath,KCB,Knight Commander of the Order of the Bath,Mr John Oliver Frank KINGMAN ,"Second Permanent Secretary, HM Treasury.  For public service particularly to the Economy.",London
2016,Knights Commander of the Order of the Bath,KCB,Knight Commander of the Order of the Bath,Dr Malcolm MCKIBBIN ,"Permanent Secretary and Head, Northern Ireland Civil Service.  For public service.",Belfast
2016,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Professor Yvonne Gabrielle DOYLE ,"Director for London, Public Health England. For services to Public Health.",London
